Sample	FitnessAssay	Library	Sequencing	Time	Condition
289-4CT	M1.T1.A	Lib7.B	NS80	Feb.17	CT
627-3CT	M2.T1.A	Lib7.B	NS80	Feb.17	CT
741-2CT	M3.T3.A	Lib7.B	NS80	Feb.17	CT
741-1HD	M3.T2.B	Lib7.B	NS80	Feb.17	HD
374-1CT	M1.T1.A	Lib8.B	NS80	Feb.17	CT
994-3CT	M3.T2.A	Lib8.B	NS80	Feb.17	CT
994-4HD	M3.T1.B	Lib8.B	NS80	Feb.17	HD
1073-3CT	M3.T3.A	Lib8.B	NS80	Feb.17	CT
1073-4HD	M3.T2.B	Lib8.B	NS80	Feb.17	HD
511-3CT	M2.T4.A	Lib1.B	NS81	Feb.17	CT
511-1CT	M2.T4.A	Lib1.B	NS81	Feb.17	CT
511-3HD	M2.T3.B	Lib1.B	NS81	Feb.17	HD
119-4CT	M1.T3.A	Lib2.B	NS81	Feb.17	CT
119-4HD	M1.T2.B	Lib2.B	NS81	Feb.17	HD
281-4CT	M1.T3.A	Lib2.B	NS81	Feb.17	CT
281-4HD	M1.T2.B	Lib2.B	NS81	Feb.17	HD
698-4CT	M2.T4.A	Lib2.B	NS81	Feb.17	CT
698-4HD	M2.T3.B	Lib2.B	NS81	Feb.17	HD
